S000000134	YBL038W	MRPL16	Mitochondrial Ribosomal Protein, Large subunit	mitochondrial 54S ribosomal protein YmL47|RML16|uL16m|YmL47	Mitochondrial ribosomal protein of the large subunit	S. cerevisiae	ORF
S000000135	YBL039C	URA7	URAcil requiring	CTP synthase URA7	Major CTP synthase isozyme (see also URA8)	S. cerevisiae	ORF
S000000136	YBL040C	ERD2	Endoplasmic reticulum Retention Defective	""	HDEL receptor	S. cerevisiae	ORF
S000000137	YBL041W	PRE7	PRoteinase yscE	proteasome core particle subunit beta 6|PRS3	Beta 6 subunit of the 20S proteasome	S. cerevisiae	ORF
S000000138	YBL042C	FUI1	5-FlUorourIdine resistance	uridine permease	High affinity uridine permease, localizes to the plasma membrane	S. cerevisiae	ORF
S000000139	YBL043W	ECM13	ExtraCellular Mutant	""	Non-essential protein of unknown function	S. cerevisiae	ORF
S000000140	YBL044W	""	""	""	Putative protein of unknown function	S. cerevisiae	ORF
S000000141	YBL045C	COR1	CORe protein of QH2 cytochrome c reductase	QCR1|ubiquinol--cytochrome-c reductase subunit COR1	Core subunit of the ubiquinol-cytochrome c reductase complex	S. cerevisiae	ORF
S000000142	YBL046W	PSY4	Platinum SensitivitY	HSM6	Regulatory subunit of protein phosphatase PP4	S. cerevisiae	ORF
S000000143	YBL047C	EDE1	EH Domains and Endocytosis	BUD15	Scaffold protein involved in the formation of early endocytic sites	S. cerevisiae	ORF
S000000144	YBL048W	RRT1	Regulator of rDNA Transcription	""	Putative protein of unknown function	S. cerevisiae	ORF
S000000145	YBL049W	MOH1	""	""	Protein of unknown function, essential for stationary phase survival	S. cerevisiae	ORF
S000000146	YBL050W	SEC17	SECretory	RNS3	Alpha-SNAP cochaperone	S. cerevisiae	ORF
S000000147	YBL051C	PIN4	Psi+ INducibility	MDT1	Protein involved in G2/M phase progression and response to DNA damage	S. cerevisiae	ORF
S000000148	YBL052C	SAS3	Something About Silencing	histone acetyltransferase|KAT6	Histone acetyltransferase catalytic subunit of NuA3 complex	S. cerevisiae	ORF
S000000150	YBL054W	TOD6	Twin Of Dot6p	PBF1	PAC motif binding protein involved in rRNA and ribosome biogenesis	S. cerevisiae	ORF
S000000151	YBL055C	""	""	3'-5'-exodeoxyribonuclease|Tat-D	3'-->5' exonuclease and endonuclease with a possible role in apoptosis	S. cerevisiae	ORF
S000000152	YBL056W	PTC3	Phosphatase Two C	type 2C protein phosphatase PTC3	Type 2C protein phosphatase (PP2C)	S. cerevisiae	ORF
S000000153	YBL057C	PTH2	Peptidyl-Trna Hydrolase	aminoacyl-tRNA hydrolase	One of two mitochondrially-localized peptidyl-tRNA hydrolases	S. cerevisiae	ORF
S000000154	YBL058W	SHP1	Suppressor of High-copy PP1	protein phosphatase regulator SHP1|UBX1	UBX domain-containing substrate adaptor for Cdc48p	S. cerevisiae	ORF
S000000155	YBL059W	IAI11	Interactor of AIm11	""	Putative mitochondrial protein of unknown function	S. cerevisiae	ORF
S000000156	YBL060W	YEL1	Yeast EFA6-Like	Arf family guanine nucleotide exchange factor YEL1	Guanine nucleotide exchange factor specific for Arf3p	S. cerevisiae	ORF
S000000157	YBL061C	SKT5	""	CAL2|CHS4|CSD4	Activator of Chs3p (chitin synthase III) during vegetative growth	S. cerevisiae	ORF
S000000159	YBL063W	KIP1	KInesin related Protein	CIN9	Kinesin-related motor protein	S. cerevisiae	ORF
S000000160	YBL064C	PRX1	PeroxiRedoXin	thioredoxin peroxidase PRX1	Mitochondrial peroxiredoxin with thioredoxin peroxidase activity	S. cerevisiae	ORF
S000000162	YBL066C	SEF1	Suppressor of Essential Function	""	Putative transcription factor	S. cerevisiae	ORF
S000000163	YBL067C	UBP13	UBiquitin-specific Protease	ubiquitin-specific protease UBP13	Ubiquitin-specific protease that cleaves Ub-protein fusions	S. cerevisiae	ORF
S000000164	YBL068W	PRS4	PhosphoRibosylpyrophosphate Synthetase	ribose phosphate diphosphokinase subunit PRS4	5-phospho-ribosyl-1(alpha)-pyrophosphate synthetase, synthesizes PRPP	S. cerevisiae	ORF
S000000165	YBL069W	AST1	ATPase STabilizing	""	Lipid raft associated protein	S. cerevisiae	ORF
S000000167	YBL071C	""	""	""	Putative protein of unknown function	S. cerevisiae	ORF
S000000168	YBL072C	RPS8A	Ribosomal Protein of the Small subunit	eS8|ribosomal 40S subunit protein S8A|rp19|S14A|S8A|S8e|YS9	Protein component of the small (40S) ribosomal subunit	S. cerevisiae	ORF
S000000170	YBL074C	AAR2	A1-Alpha2 Repression	U5 snRNP complex subunit AAR2	Component of the U5 snRNP complex	S. cerevisiae	ORF
S000000171	YBL075C	SSA3	Stress-Seventy subfamily A	Hsp70 family ATPase SSA3|YG106	ATPase involved in protein folding and the response to stress	S. cerevisiae	ORF
S000000172	YBL076C	ILS1	IsoLeucine-tRNA Synthetase	isoleucine--tRNA ligase ILS1	Cytoplasmic isoleucine-tRNA synthetase	S. cerevisiae	ORF
S000000174	YBL078C	ATG8	AuTophaGy related	APG8|AUT7|CVT5|ubiquitin-like protein ATG8	Ub-like protein involved in membrane fusion during autophagosome forma	S. cerevisiae	ORF
S000000175	YBL079W	NUP170	NUclear Pore	NLE3	Subunit of inner ring of nuclear pore complex (NPC)	S. cerevisiae	ORF
S000000176	YBL080C	PET112	PETite colonies	glutamyl-tRNA(Gln) amidotransferase subunit PET112	Subunit of the trimeric GatFAB AmidoTransferase(AdT) complex	S. cerevisiae	ORF
S000000177	YBL081W	""	""	""	Non-essential protein of unknown function	S. cerevisiae	ORF
S000000178	YBL082C	ALG3	Asparagine Linked Glycosylation	dolichyl-P-Man:Man(5)GlcNAc(2)-PP-dolichol alpha-1,3-mannosyltransferase|RHK1	Dolichol-P-Man dependent alpha(1-3) mannosyltransferase	S. cerevisiae	ORF
S000000180	YBL084C	CDC27	Cell Division Cycle	anaphase promoting complex subunit CDC27|APC3|SNB1	Subunit of the Anaphase-Promoting Complex/Cyclosome (APC/C)	S. cerevisiae	ORF
S000000181	YBL085W	BOI1	Bem1 (One) Interacting protein	BOB1|GIN7	Protein involved in polar growth, functionally redundant with Boi2p	S. cerevisiae	ORF
S000000182	YBL086C	""	""	""	Protein of unknown function	S. cerevisiae	ORF
S000000183	YBL087C	RPL23A	Ribosomal Protein of the Large subunit	L14|L17aA|L23A|ribosomal 60S subunit protein L23A|uL14|YL32	Ribosomal 60S subunit protein L23A	S. cerevisiae	ORF
S000000184	YBL088C	TEL1	TELomere maintenance	DNA-binding protein kinase TEL1	Protein kinase primarily involved in telomere length regulation	S. cerevisiae	ORF
S000000185	YBL089W	AVT5	Amino acid Vacuolar Transport	amino acid transporter	Putative transporter	S. cerevisiae	ORF
S000000186	YBL090W	MRP21	Mitochondrial Ribosomal Protein	bS21m|mitochondrial 37S ribosomal protein MRP21|MRP50	Mitochondrial ribosomal protein of the small subunit	S. cerevisiae	ORF
S000000187	YBL091C	MAP2	Methionine AminoPeptidase	methionine aminopeptidase	Methionine aminopeptidase	S. cerevisiae	ORF
S000000188	YBL092W	RPL32	Ribosomal Protein of the Large subunit	eL32|L32|L32e|ribosomal 60S subunit protein L32	Ribosomal 60S subunit protein L32	S. cerevisiae	ORF
S000000189	YBL093C	ROX3	Regulation by OXygen	MED19|NUT3|RMR1|SSN7|SSX2	Subunit of the RNA polymerase II mediator complex	S. cerevisiae	ORF
S000000191	YBL095W	MRX3	Mitochondrial oRganization of gene eXpression (MIOREX)	""	Protein that associates with mitochondrial ribosome	S. cerevisiae	ORF
S000000192	YBL096C	""	""	""	Non-essential protein of unknown function	S. cerevisiae	ORF
S000000193	YBL097W	BRN1	homolog of BaRreN	condensin subunit BRN1	Subunit of the condensin complex	S. cerevisiae	ORF
